id,name,department,category,type,state,min_age,max_age,gender_target,min_income,max_income,education_target,occupation_target,disability_required,bpl_required,benefits,required_documents,official_link,description,image_url
1,"PM-KISAN (Pradhan Mantri Kisan Samman Nidhi)","Department of Agriculture and Farmers Welfare","Agriculture","Central","All",18,120,"All",0,300000,"All","Farmer","No","No","₹6000 per year in three equal installments of ₹2000 directly credited to bank accounts.","Aadhaar Card, Land Registry Documents, Bank Passbook, Mobile Number","https://pmkisan.gov.in/","A Central Sector Scheme to provide income support to all landholding farmers' families across the country to enable them to take care of agricultural expenses.","/static/images/pm_kisan.jpg"
2,"Sukanya Samriddhi Yojana (SSY)","Ministry of Finance","Women","Central","All",0,10,"Female",0,10000000,"All","No","No","No","Attractive interest rate (8.2% annually) with triple tax exemptions (EEE status) under Section 80C.","Birth Certificate of Girl Child, Aadhaar Card of Parent, PAN Card of Parent, Address Proof","https://www.indiapost.gov.in/","A small savings scheme for girl children launched as part of the 'Beti Bachao Beti Padhao' campaign to meet their education and marriage expenses.","/static/images/sukanya.jpg"
3,"Pradhan Mantri Awas Yojana (PMAY)","Ministry of Housing and Urban Affairs","Housing","Central","All",18,120,"All",0,1800000,"All","All","No","Yes","Interest subsidy of up to 6.5% on housing loans for EWS/LIG categories resulting in savings up to ₹2.67 Lakhs.","Aadhaar Card, Income Certificate, BPL Card/Certificate, Bank Account Details, Domicile Proof","https://pmaymis.gov.in/","An initiative by the Government of India to provide affordable housing for the urban and rural poor by the year 2022 and beyond.","/static/images/pmay.jpg"
4,"Post Matric Scholarship Scheme","Ministry of Social Justice and Empowerment","Education","Central","All",15,30,"All",0,250000,"Student","Student","No","No","100% tuition fee reimbursement and monthly maintenance allowance depending on course of study.","Aadhaar Card, Caste Certificate, Income Certificate, Previous Exam Marksheet, Bank Passbook, Domicile Proof","https://scholarships.gov.in/","Financial assistance to Scheduled Caste (SC) and OBC students pursuing post-matriculation or post-secondary courses to reduce dropouts.","/static/images/scholarship.jpg"
5,"Pradhan Mantri Suraksha Bima Yojana (PMSBY)","Ministry of Finance","Health","Central","All",18,70,"All",0,10000000,"All","All","No","No","Accidental death and full disability coverage of ₹2 Lakh; partial disability coverage of ₹1 Lakh for ₹20/year premium.","Aadhaar Card, Bank Passbook details, Consent-cum-Declaration form","https://www.jansuraksha.gov.in/","An accident insurance scheme offering high coverage at a highly subsidized premium, available to people in the age group of 18 to 70 years.","/static/images/pmsby.jpg"
6,"Atal Pension Yojana (APY)","PFRDA / Ministry of Finance","Pension","Central","All",18,40,"All",0,10000000,"All","All","No","No","Guaranteed minimum pension of ₹1000 to ₹5000 per month after attaining 60 years of age based on contribution.","Aadhaar Card, Savings Bank Account, Mobile Number","https://www.npscra.nsdl.co.in/","A pension scheme focused on the unorganized sector workers to provide social security and financial protection in old age.","/static/images/apy.jpg"
7,"Pradhan Mantri Mudra Yojana (PMMY)","Micro Units Development & Refinance Agency","Business","Central","All",18,65,"All",0,10000000,"All","Business Owner","No","No","Collateral-free loans up to ₹10 Lakh for non-farm micro/small enterprises under Shishu (up to ₹50k) Kishor (up to ₹5L) and Tarun (up to ₹10L).","Aadhaar Card, PAN Card, Business Address Proof, Quotation of Machinery, Business Plan","https://www.mudra.org.in/","Provides funding support of up to ₹10 Lakhs to non-corporate, non-farm small and micro enterprises to boost entrepreneurship.","/static/images/mudra.jpg"
8,"Stand-Up India Scheme","Small Industries Development Bank of India","Business","Central","All",18,70,"Female",0,10000000,"All","Business Owner","No","No","Bank loans between ₹10 Lakh and ₹1 Crore for setting up a greenfield enterprise in manufacturing, services, or trading.","Aadhaar Card, Caste Certificate (SC/ST), Business Project Report, Last 3 Years Balance Sheet, Income Tax Returns","https://www.standupmitra.in/","Promotes entrepreneurship among women and SC/ST communities by facilitating bank loans for setting up greenfield enterprises.","/static/images/standup.jpg"
9,"Indira Gandhi National Old Age Pension Scheme (IGNOAPS)","Ministry of Rural Development","Pension","Central","All",60,120,"All",0,100000,"All","All","No","Yes","Monthly pension of ₹200 for ages 60-79 and ₹500 for age 80+ to support basic living expenses.","Aadhaar Card, BPL Card, Age Proof Certificate, Bank Passbook, Domicile Proof","https://nsap.nic.in/","Under NSAP, this scheme provides financial assistance/pensions to elderly citizens belonging to Below Poverty Line (BPL) households.","/static/images/ignoaps.jpg"
10,"MGNREGA (Mahatma Gandhi National Rural Employment Guarantee)","Ministry of Rural Development","Employment","Central","All",18,120,"All",0,200000,"All","All","No","No","Guaranteed 100 days of unskilled wage employment per financial year to rural households within 15 km of residence.","Aadhaar Card, Job Card, Bank Passbook, Passport Size Photograph","https://nrega.nic.in/","A social security measure that guarantees the right to work, providing livelihood security to rural households by offering unskilled manual labor.","/static/images/nrega.jpg"
11,"Pradhan Mantri Jan Dhan Yojana (PMJDY)","Ministry of Finance","Business","Central","All",10,120,"All",0,10000000,"All","All","No","No","Basic savings bank account with zero balance, free RuPay debit card, ₹2 Lakh accident insurance, and ₹10000 overdraft facility.","Aadhaar Card or Voter ID or Driving License, Passport Size Photograph","https://www.pmjdy.gov.in/","National Mission for Financial Inclusion to ensure access to financial services namely banking savings deposit accounts, credit, and insurance.","/static/images/pmjdy.jpg"
12,"Sanjay Gandhi Niradhar Grant Scheme","Department of Social Justice (Maharashtra)","Pension","State","Maharashtra",18,65,"All",0,21000,"All","All","Yes","Yes","Monthly pension of ₹1500 to destitute, disabled, widows, and persons suffering from major/critical illnesses.","Aadhaar Card, Age Certificate, Income Certificate (up to ₹21000), Disability Certificate, Maharashtra Domicile","https://sanjaygandhiniradharscheme.maharashtra.gov.in/","Financial aid provided by the Maharashtra State Government to disabled persons, widows, and destitute citizens who have no source of income.","/static/images/sanjay_niradhar.jpg"
